User|Account|ReqCPUS|AllocCPUS|
safae|msda-account|3|3|
zakaria.belfkira|techcell-account|14|44|
|techcell-account|14|14|
|techcell-account|1|1|
zakaria.belfkira|techcell-account|14|44|
|techcell-account|14|14|
|techcell-account|1|1|
zakaria.belfkira|techcell-account|14|44|
|techcell-account|14|14|
|techcell-account|1|1|
zakaria.belfkira|techcell-account|14|44|
|techcell-account|14|14|
|techcell-account|1|1|
hamsbaai|d4r-account|1|44|
hamsbaai|d4r-account|1|44|
hamza.kamil|agbs-account|5|5|
|agbs-account|5|5|
hamsbaai|d4r-account|1|44|
amine.andam|sccs-dna-account|1|1|
amine.andam|sccs-dna-account|1|1|
sboughou|msda-account|1|1|
ilyas.bouziani|limset-account|1|44|
hamza.kamil|agbs-account|5|5|
|agbs-account|5|5|
hiba.khey|msda-account|40|40|
hamza.kamil|agbs-account|5|5|
|agbs-account|5|5|
hamza.kamil|agbs-account|5|5|
|agbs-account|5|5|
hamza.kamil|agbs-account|5|5|
|agbs-account|5|5|
sboughou|msda-account|44|44|
|msda-account|44|44|
sboughou|msda-account|44|44|
|msda-account|44|44|
sboughou|msda-account|44|44|
|msda-account|44|44|
hamza.kamil|agbs-account|5|5|
|agbs-account|5|5|
hamza.kamil|agbs-account|5|5|
|agbs-account|5|5|
hamza.kamil|agbs-account|5|5|
hamza.kamil|agbs-account|5|5|
ilyas.bouziani|limset-account|1|1|
ilyas.bouziani|limset-account|1|44|
|limset-account|44|44|
ilyas.bouziani|limset-account|1|44|
|limset-account|44|44|
ilyas.bouziani|limset-account|1|1|
ilyas.bouziani|limset-account|1|44|
|limset-account|44|44|
ilyas.bouziani|limset-account|1|44|
ilyas.bouziani|limset-account|1|44|
|limset-account|44|44|
amine.andam|sccs-dna-account|1|1|
|sccs-dna-account|1|1|
amine.andam|sccs-dna-account|1|1|
|sccs-dna-account|1|1|
sboughou|msda-account|44|44|
|msda-account|44|44|
amine.andam|sccs-dna-account|1|1|
|sccs-dna-account|1|1|
ilyas.bouziani|limset-account|1|44|
|limset-account|44|44|
sboughou|msda-account|44|44|
|msda-account|44|44|
