JobID,User,AllocCPUS,AllocGRES,Date,ElapsedTime,NumGPUs,CPUTime,GPUTime
5858077,ikissami,88,gpu:2,2023-12-04,12:39:32,2,46-09:58:56,1-01:19:04
5858077,ikissami,88,gpu:2,2023-12-05,24:00:00,2,88-00:00:00,2-00:00:00
5858077,ikissami,88,gpu:2,2023-12-06,11:20:50,2,41-14:33:20,0-22:41:40
5858227,ikissami,40,,2023-12-06,00:00:18,0,0-00:12:00,0-00:00:00
5858408,ikissami,88,gpu:2,2023-12-08,00:00:33,2,0-00:48:24,0-00:01:06
5858414,ikissami,88,,2023-12-08,00:00:15,0,0-00:22:00,0-00:00:00
5858416,ikissami,88,,2023-12-08,00:00:15,0,0-00:22:00,0-00:00:00
5858417,ikissami,1,,2023-12-08,00:00:29,0,0-00:00:29,0-00:00:00
5858419,ikissami,2,,2023-12-08,00:00:01,0,0-00:00:02,0-00:00:00
5858423,ikissami,1,,2023-12-08,00:24:54,0,0-00:24:54,0-00:00:00
5858424,ikissami,1,,2023-12-08,00:00:08,0,0-00:00:08,0-00:00:00
5858430,ikissami,1,,2023-12-08,00:00:28,0,0-00:00:28,0-00:00:00
5858431,ikissami,1,,2023-12-08,00:06:27,0,0-00:06:27,0-00:00:00
5858433,ikissami,1,,2023-12-08,00:04:40,0,0-00:04:40,0-00:00:00
5858435,ikissami,1,,2023-12-08,00:04:00,0,0-00:04:00,0-00:00:00
5858436,ikissami,88,gpu:2,2023-12-08,00:22:24,2,1-08:51:12,0-00:44:48
5858437,ikissami,88,gpu:2,2023-12-08,00:12:55,2,0-18:56:40,0-00:25:50
5858443,ikissami,44,,2023-12-08,01:00:10,0,1-20:07:20,0-00:00:00
5858446,ikissami,28,,2023-12-08,00:51:57,0,1-00:14:36,0-00:00:00
5858449,ikissami,1,,2023-12-08,00:26:00,0,0-00:26:00,0-00:00:00
5858459,ikissami,1,,2023-12-08,02:00:00,0,0-02:00:00,0-00:00:00
5858463,ikissami,4,,2023-12-08,00:00:40,0,0-00:02:40,0-00:00:00
5858464,ikissami,16,,2023-12-08,00:00:20,0,0-00:05:20,0-00:00:00
5858465,ikissami,16,,2023-12-08,00:00:10,0,0-00:02:40,0-00:00:00
5858466,ikissami,16,,2023-12-08,00:00:23,0,0-00:06:08,0-00:00:00
5858467,ikissami,5,,2023-12-08,00:00:16,0,0-00:01:20,0-00:00:00
5858468,ikissami,5,,2023-12-08,00:03:54,0,0-00:19:30,0-00:00:00
5858469,ikissami,5,,2023-12-08,00:06:08,0,0-00:30:40,0-00:00:00
5858470,ikissami,1,,2023-12-08,00:02:31,0,0-00:02:31,0-00:00:00
5858471,ikissami,1,,2023-12-08,00:00:01,0,0-00:00:01,0-00:00:00
5858472,ikissami,5,,2023-12-08,00:04:01,0,0-00:20:05,0-00:00:00
5858473,ikissami,5,,2023-12-08,00:00:02,0,0-00:00:10,0-00:00:00
5858474,ikissami,1,,2023-12-08,00:02:57,0,0-00:02:57,0-00:00:00
5858475,ikissami,1,,2023-12-08,00:00:01,0,0-00:00:01,0-00:00:00
5858476,ikissami,1,,2023-12-08,00:06:41,0,0-00:06:41,0-00:00:00
5858477,ikissami,5,,2023-12-08,00:00:01,0,0-00:00:05,0-00:00:00
5858478,ikissami,5,,2023-12-08,00:00:01,0,0-00:00:05,0-00:00:00
5858479,ikissami,5,,2023-12-08,00:00:01,0,0-00:00:05,0-00:00:00
5858480,ikissami,2,,2023-12-08,00:01:15,0,0-00:02:30,0-00:00:00
5858481,ikissami,1,,2023-12-08,00:00:10,0,0-00:00:10,0-00:00:00
5858482,ikissami,2,,2023-12-08,00:06:03,0,0-00:12:06,0-00:00:00
5858484,ikissami,44,,2023-12-08,00:01:14,0,0-00:54:16,0-00:00:00
5858485,ikissami,2,,2023-12-08,00:02:36,0,0-00:05:12,0-00:00:00
5858486,ikissami,44,,2023-12-08,00:03:47,0,0-02:46:28,0-00:00:00
5858488,ikissami,44,,2023-12-08,00:00:04,0,0-00:02:56,0-00:00:00
5858489,ikissami,44,,2023-12-08,00:00:03,0,0-00:02:12,0-00:00:00
5858490,ikissami,44,,2023-12-08,00:00:04,0,0-00:02:56,0-00:00:00
5858491,ikissami,1,,2023-12-08,00:00:31,0,0-00:00:31,0-00:00:00
5858492,ikissami,1,,2023-12-08,00:00:19,0,0-00:00:19,0-00:00:00
5858493,ikissami,4,,2023-12-08,00:00:31,0,0-00:02:04,0-00:00:00
